% Xfiducial, Yfiducial=(  4.280  50.000), ( 95.720  50.000), ( 50.000  95.720), ( 66.256   7.267) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control) 
130.0,59.935,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
131.0,61.967,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
132.0,63.999,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
133.0,66.031,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
134.0,68.063,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
135.0,70.095,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
136.0,72.127,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
137.0,74.159,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
138.0,76.191,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
139.0,78.223,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
140.0,80.255,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
141.0,17.263,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
142.0,19.295,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
143.0,21.327,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
144.0,23.359,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
145.0,25.391,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
146.0,27.423,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
147.0,29.455,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
148.0,31.487,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
149.0,33.519,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
150.0,35.551,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
151.0,37.583,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
152.0,39.615,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
153.0,41.647,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
154.0,43.679,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
155.0,45.711,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
156.0,47.743,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
157.0,49.775,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
158.0,51.807,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
159.0,53.839,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
160.0,55.871,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
161.0,57.903,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
162.0,59.935,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
163.0,61.967,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
164.0,63.999,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
165.0,66.031,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
166.0,68.063,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
167.0,70.095,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
168.0,72.127,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
169.0,74.159,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
170.0,76.191,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
171.0,78.223,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
172.0,80.255,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
173.0,82.287,77.555,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
174.0,15.231,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
175.0,17.263,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
176.0,19.295,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
177.0,21.327,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
178.0,23.359,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
179.0,25.391,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
180.0,27.423,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
181.0,29.455,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
182.0,31.487,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
183.0,33.519,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
184.0,35.551,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
185.0,37.583,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
186.0,39.615,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
187.0,41.647,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
188.0,43.679,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
189.0,45.711,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
190.0,47.743,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
191.0,49.775,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
192.0,51.807,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
193.0,53.839,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
194.0,55.871,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
195.0,57.903,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
196.0,59.935,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
197.0,61.967,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
